No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,L1,L2,  Jackpot,   Wins
1252, Fri,20,Sep,2019,25,50,21,38,8,4,8,167609701,0
1251, Tue,17,Sep,2019,22,45,43,44,37,1,12,155282163,0
1250, Fri,13,Sep,2019,12,1,42,47,27,6,7,145566007,0
1249, Tue,10,Sep,2019,3,30,49,25,22,3,6,134122038,0
1248, Fri,6,Sep,2019,13,22,40,10,48,5,2,125665319,0
1247, Tue,3,Sep,2019,44,11,38,7,39,10,7,116404085,0
1246, Fri,30,Aug,2019,45,49,27,46,25,6,4,107759330,0
1245, Tue,27,Aug,2019,26,8,35,47,43,9,1,97958413,0
1244, Fri,23,Aug,2019,4,17,42,45,35,8,2,91533020,0
1243, Tue,20,Aug,2019,23,24,22,20,37,1,4,83338679,0
1242, Fri,16,Aug,2019,9,42,10,27,37,1,5,77208525,0
1241, Tue,13,Aug,2019,31,13,33,29,40,2,3,70899768,0
1240, Fri,9,Aug,2019,35,41,14,2,42,11,10,65218898,0
1239, Tue,6,Aug,2019,38,12,29,36,13,4,12,52917787,0
1238, Fri,2,Aug,2019,33,44,13,22,50,5,2,43958121,0
1237, Tue,30,Jul,2019,15,27,23,40,20,3,6,33364792,0
1236, Fri,26,Jul,2019,27,2,42,5,37,10,3,25032609,0
1235, Tue,23,Jul,2019,38,19,23,1,14,7,3,15254100,0
1234, Fri,19,Jul,2019,26,17,13,14,28,7,2,96710509,1
1233, Tue,16,Jul,2019,5,13,18,39,3,8,7,88185562,0
1232, Fri,12,Jul,2019,2,31,39,45,47,8,4,81180289,0
1231, Tue,9,Jul,2019,32,7,41,36,29,7,6,73547916,0
1230, Fri,5,Jul,2019,20,2,42,34,9,9,6,67458174,0
1229, Tue,2,Jul,2019,19,44,11,29,45,12,8,60173279,0
1228, Fri,28,Jun,2019,1,33,3,49,16,2,11,51583856,0
1227, Tue,25,Jun,2019,27,34,6,26,46,1,9,40597881,0
1226, Fri,21,Jun,2019,9,8,39,25,5,3,7,32775384,0
1225, Tue,18,Jun,2019,44,40,12,37,24,3,7,22579505,0
1224, Fri,14,Jun,2019,30,1,39,13,31,2,7,15152100,0
1223, Tue,11,Jun,2019,27,46,42,25,39,11,12,123458008,1
1222, Fri,7,Jun,2019,34,16,4,1,20,2,5,115726000,0
1221, Tue,4,Jun,2019,31,32,9,39,41,8,2,22504557,0
1220, Fri,31,May,2019,1,26,23,35,24,11,1,15034800,0
1219, Tue,28,May,2019,28,7,29,19,20,1,5,28837305,2
1218, Fri,24,May,2019,5,30,49,23,16,7,6,49736732,0
1217, Tue,21,May,2019,47,32,34,33,39,12,8,39211724,0
1216, Fri,17,May,2019,42,16,28,43,45,6,7,31674666,0
1215, Tue,14,May,2019,14,25,50,10,17,2,10,21687521,0
1214, Fri,10,May,2019,1,45,27,4,48,7,1,14694800,0
1213, Tue,7,May,2019,32,20,47,7,26,2,11,21438454,1
1212, Fri,3,May,2019,2,20,27,43,9,5,6,14467000,0
1211, Tue,30,Apr,2019,20,26,12,48,5,2,11,21815835,1
1210, Fri,26,Apr,2019,33,35,50,47,14,11,9,14682900,0
1209, Tue,23,Apr,2019,23,44,18,27,42,7,2,38254645,1
1208, Fri,19,Apr,2019,32,49,8,7,41,11,5,31273852,0
1207, Tue,16,Apr,2019,1,49,15,8,44,2,11,21879091,0
1206, Fri,12,Apr,2019,46,28,1,35,36,6,9,14701600,0
1205, Tue,9,Apr,2019,38,41,18,29,21,1,11,68329653,1
1204, Fri,5,Apr,2019,7,45,10,1,29,5,3,62771731,0
1203, Tue,2,Apr,2019,9,26,16,2,36,6,7,50833887,0
1202, Fri,29,Mar,2019,13,23,26,47,32,6,10,43015001,0
1201, Tue,26,Mar,2019,47,43,19,23,12,2,6,32010911,0
1200, Fri,22,Mar,2019,17,43,26,4,30,11,6,24580716,0
1199, Tue,19,Mar,2019,9,6,1,47,34,12,7,14552000,0
1198, Fri,15,Mar,2019,46,24,42,15,3,12,9,71057439,1
1197, Tue,12,Mar,2019,5,13,7,19,31,9,2,64356515,0
1196, Fri,8,Mar,2019,40,17,24,19,18,8,4,55265839,0
1195, Tue,5,Mar,2019,16,10,46,39,6,8,11,43294160,0
1194, Fri,1,Mar,2019,9,19,26,31,6,12,11,35148482,0
1193, Tue,26,Feb,2019,29,47,15,3,35,4,3,22256333,0
1192, Fri,22,Feb,2019,50,33,29,3,27,7,3,14773000,0
1191, Tue,19,Feb,2019,19,8,18,1,39,9,7,152400366,1
1190, Fri,15,Feb,2019,49,38,27,34,15,2,10,144375567,0
1189, Tue,12,Feb,2019,34,36,50,41,6,1,5,133312302,0
1188, Fri,8,Feb,2019,46,12,13,39,11,7,10,123991632,0
1187, Tue,5,Feb,2019,31,43,14,25,37,2,3,113958151,0
1186, Fri,1,Feb,2019,3,41,26,46,21,6,1,105204000,0
1185, Tue,29,Jan,2019,39,14,24,32,26,8,3,75051591,0
1184, Fri,25,Jan,2019,15,16,13,6,1,6,10,68153942,0
1183, Tue,22,Jan,2019,29,49,41,9,23,8,10,61621961,0
1182, Fri,18,Jan,2019,5,16,46,6,30,5,10,53285987,0
1181, Tue,15,Jan,2019,33,22,35,25,29,3,6,42137452,0
1180, Fri,11,Jan,2019,19,48,31,39,1,6,1,34004534,0
1179, Tue,8,Jan,2019,19,32,31,3,22,2,11,23253235,0
1178, Fri,4,Jan,2019,19,7,11,37,27,10,6,15228600,0
1177, Tue,1,Jan,2019,11,25,8,28,1,4,6,114969776,1
1176, Fri,28,Dec,2018,34,16,35,45,13,10,12,108543762,0
1175, Tue,25,Dec,2018,8,4,43,31,5,9,2,99026381,0
1174, Fri,21,Dec,2018,12,2,34,50,15,4,3,92134454,0
1173, Tue,18,Dec,2018,1,18,39,48,9,7,5,83057501,0
1172, Fri,14,Dec,2018,29,12,38,44,42,12,2,76884342,0
1171, Tue,11,Dec,2018,4,13,7,42,23,1,3,69712546,0
1170, Fri,7,Dec,2018,17,11,37,48,26,1,10,63478325,0
1169, Tue,4,Dec,2018,21,19,45,20,42,8,9,51799990,0
1168, Fri,30,Nov,2018,3,10,26,23,12,12,1,43374190,0
1167, Tue,27,Nov,2018,17,16,4,32,18,11,2,32439819,0
1166, Fri,23,Nov,2018,25,30,5,26,8,3,10,24866684,0
1165, Tue,20,Nov,2018,6,48,19,45,39,7,12,15130000,0
1164, Fri,16,Nov,2018,9,10,28,41,13,12,1,44832935,1
1163, Tue,13,Nov,2018,10,7,13,2,42,6,3,33184923,0
1162, Fri,9,Nov,2018,49,17,37,32,14,11,12,25702466,0
1161, Tue,6,Nov,2018,14,36,24,43,40,2,9,14832500,0
1160, Fri,2,Nov,2018,15,37,5,17,44,11,7,76369807,1
1159, Tue,30,Oct,2018,44,27,23,17,43,1,12,70193991,0
1158, Fri,26,Oct,2018,5,31,18,21,35,6,9,64245817,0
1157, Tue,23,Oct,2018,32,2,1,5,21,12,2,52107396,0
1156, Fri,19,Oct,2018,1,3,47,29,48,12,3,43581440,0
1155, Tue,16,Oct,2018,15,28,42,37,40,1,6,32638799,0
1154, Fri,12,Oct,2018,31,4,12,43,9,8,5,25070150,0
1153, Tue,9,Oct,2018,3,45,44,12,36,11,8,14873300,0
1152, Fri,5,Oct,2018,16,8,26,35,24,11,3,14948100,1
1151, Tue,2,Oct,2018,45,29,37,7,17,11,3,144603632,1
1150, Fri,28,Sep,2018,4,8,50,2,27,2,9,135382686,0
1149, Tue,25,Sep,2018,38,6,20,30,15,4,7,124411811,0
1148, Fri,21,Sep,2018,5,7,37,25,21,3,4,116870000,0
1147, Tue,18,Sep,2018,10,32,45,8,3,4,12,40651934,0
1146, Fri,14,Sep,2018,45,40,33,1,3,4,3,32776219,0
1145, Tue,11,Sep,2018,32,18,9,38,46,2,3,22382447,0
1144, Fri,7,Sep,2018,50,31,27,4,23,1,8,15216700,0
1143, Tue,4,Sep,2018,47,5,28,30,14,11,4,40979973,1
1142, Fri,31,Aug,2018,4,42,30,38,31,4,6,32721629,0
1141, Tue,28,Aug,2018,42,46,4,16,32,12,8,22758649,0
1140, Fri,24,Aug,2018,31,36,50,14,3,12,1,15393500,0
1139, Tue,21,Aug,2018,43,16,49,23,42,12,10,96785706,1
1138, Fri,17,Aug,2018,18,24,2,43,15,8,12,89766677,0
1137, Tue,14,Aug,2018,31,1,15,25,18,9,11,81090231,0
1136, Fri,10,Aug,2018,43,44,20,18,36,9,3,75029181,0
1135, Tue,7,Aug,2018,30,29,28,36,16,10,8,67719962,0
1134, Fri,3,Aug,2018,26,38,36,43,7,12,6,61780382,0
1133, Tue,31,Jul,2018,25,34,20,42,45,6,11,50637585,0
1132, Fri,27,Jul,2018,17,23,11,22,41,11,6,42386533,0
1131, Tue,24,Jul,2018,40,23,2,4,39,3,9,32023423,0
1130, Fri,20,Jul,2018,15,2,43,40,46,3,6,24941396,0
1129, Tue,17,Jul,2018,4,50,6,27,48,1,11,15126600,0
1128, Fri,13,Jul,2018,49,14,4,1,21,2,12,15021200,1
1127, Tue,10,Jul,2018,3,33,26,8,45,10,7,57975368,1
1126, Fri,6,Jul,2018,30,8,48,33,38,10,2,49801491,0
1125, Tue,3,Jul,2018,15,29,12,48,1,5,3,39091736,0
1124, Fri,29,Jun,2018,15,21,40,23,48,3,12,31647298,0
1123, Tue,26,Jun,2018,20,34,16,15,50,7,4,21730843,0
